,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
845,425996445,Tiny Planet Photos and Video,84909056,USD,0.99,714,8,4,4,6.3.0,4+,Other,37,5,7,1
829,423246594,NCAA March Madness Live,113078272,USD,0,13572,55,3,2.5,7.0.4,4+,Other,37,5,1,1
6224,1061873443,,194211840,USD,5.99,0,0,0,0,1.06,4+,Games,38,5,1,1
9080,1123078102,NBC Sports Scores,61116416,USD,0,428,3,2,4.5,2.3,4+,Other,37,5,1,1
6442,1066612270,,125937664,USD,0,1,1,5,5,1.0.1,4+,Games,38,5,1,1
5007,1018002876,Space Grunts,61841408,USD,3.99,58,3,4,4,1.6.0,12+,Games,38,5,1,1
6485,1067596534,This by Tinrocket,47585280,USD,1.99,169,123,4.5,4.5,1.0.2,4+,Other,37,5,1,1
4099,959937622,My Newborn Kitty,97374208,USD,0,230,85,3.5,4,1.2,4+,Games,40,5,12,1
3142,871458763,Stay In The Line Pro,6758400,USD,0.99,474,107,4,4.5,1.0.3,4+,Games,40,0,1,1
1088,462155908,Fisheye Lens,7671808,USD,1.99,2485,1564,4.5,4.5,2.1.0,4+,Other,40,4,6,1
6898,1075939556,Driving School,293660672,USD,0,26685,1961,4.5,4.5,1.7.1,4+,Games,37,5,1,1
5738,1048542880,War of Warship,109920256,USD,0,526,14,3,1.5,2.2.0,12+,Games,37,5,1,1
8306,1105834924,WordWhizzle Search,83180544,USD,0,49635,3056,4.5,4.5,1.2.4,4+,Games,37,5,1,1
1634,539354240,Been Together,50371584,USD,0.99,20,1,4.5,5,2.0.4,4+,Other,37,0,7,1
713,406719683,GasBuddy,145240064,USD,0,145549,330,4.5,4.5,4.4.6.1,17+,Other,37,4,1,1
3478,910159225,Yoga Break,98542592,USD,2.99,45,14,4.5,4.5,1.3,4+,Other,40,5,1,1
1828,566560753,KATWARN,5424128,USD,0,0,0,0,0,2.1.1,4+,Other,40,0,2,1
5117,1022763299,,98246656,USD,0,0,0,0,0,1.8.3,9+,Games,40,5,1,1
